Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
5.6743621826171875e-05,0.0,0.0,0.721716582775116,-4.5361701950241695e-08,0.0,0.0,40,39,-100,-100,0
1.0380208492279053,0.0027391631675279813,0.0010897492188030734,1.0408567190170288,63.04951095581055,-158.3053487785773,0.0029479769704364774,100,-70,-76,-76,0
2.0797297954559326,-0.0032166009309237934,0.005275063450676093,1.5977299213409424,-157.63784790039062,-58.62621237726343,0.006178415327369841,100,-39,-32,-32,0
3.10906982421875,-0.002032544457671438,-0.005485657379635513,2.071709156036377,-22.166805267333984,69.66933662002577,0.005850100328982439,100,-33,5,5,0
4.148188829421997,0.004738178906632303,0.00301607964861273,2.3412184715270996,113.67078399658203,-147.52127823442325,0.005616678359852126,100,-39,27,27,0
5.1807050704956055,-0.00563224470590225,0.0011604239490772149,2.3825180530548096,-107.83126831054688,-11.641872005043636,0.00575054468452823,100,-36,30,30,0
6.21207594871521,0.0028090183099726595,-0.005562487836581078,2.27797532081604,20.293888092041016,116.79346336006306,0.00623152106615023,100,-37,22,22,0
7.252753973007202,0.0029670797276742976,0.0056105574129172615,2.123020648956299,146.3812713623047,-117.87161750636677,0.006346803651761776,100,-36,9,9,0
8.292467832565308,-0.005349687907589451,-0.0019253927969399634,1.9813034534454346,-79.11348724365234,19.79418437945013,0.005685622053136938,100,-39,-1,-1,0
9.334825992584229,0.005365805845505882,-0.002833560139973969,1.8967509269714355,53.411861419677734,152.16248378084788,0.0060680256623150824,100,-39,-8,-8,0
10.378232717514038,-0.0012551665380443457,0.00591990922984221,1.8881471157073975,-173.3077392578125,-78.02916337667064,0.00605150959082089,100,-36,-8,-8,0
11.40962266921997,-0.003478926453904158,-0.004786364266730829,1.921596884727478,-39.96510314941406,53.98880351708719,0.005917111809448246,100,-35,-6,-6,0
12.442022800445557,0.005637417164088253,0.0013818054718219334,1.9630135297775269,92.42474365234375,-166.22757979793056,0.005804296567536317,100,-41,-2,-2,0
13.482749938964844,-0.004776751592615129,0.004422724549630172,2.007096767425537,-140.98236083984375,-42.796151595605075,0.006509827049887929,100,-38,0,0,0
14.517987728118896,-0.0004829165449643639,-0.006041092700632182,2.028855800628662,-11.69178295135498,85.42957385614093,0.006060363801541269,100,-37,2,2,0
15.5591139793396,0.005442021700082403,0.003302049148169635,2.0328781604766846,116.1122055053711,-148.7519290485513,0.006365463750670141,100,-36,2,2,0
16.58470892906189,-0.005734272963814815,0.0019306931221370395,2.0335614681243896,-116.35961151123047,-18.608051012321834,0.006050575373913195,100,-38,2,2,0
17.615242958068848,0.002766222957317487,-0.005145498539628916,2.018458366394043,19.196496963500977,118.26250014964022,0.00584192987555599,100,-39,1,1,0
18.657313108444214,0.002551245231976221,0.00575381747763424,2.0073297023773193,148.9703826904297,-113.91251956249121,0.006294066078427414,100,-37,0,0,0
19.721132040023804,-0.005539824757537764,-0.0022233664005005295,2.0043089389801025,-71.85462188720703,21.867682371176052,0.005969339703443173,100,-34,0,0,0
20.756364822387695,0.005626682939431254,-0.0022156270398479634,1.996232271194458,57.95252227783203,158.50689647403703,0.006047194728185309,100,-40,0,0,0
21.791400909423828,-0.0016588927288122316,0.005935862656210899,1.998238205909729,-173.5918426513672,-74.38594164459167,0.006163310032693894,100,-39,0,0,0
22.823043823242188,-0.003031052537038877,-0.004971787034711024,1.998686671257019,-37.65721893310547,58.63140481971923,0.005822881228465034,100,-37,0,0,0
23.861824989318848,0.005382910059101425,0.0016053983839005171,1.9950007200241089,100.10059356689453,-163.39332176839525,0.005617207907439931,100,-37,0,0,0
